排名,代码,名称,东财行业,链条,筹码合成,全市场分位%,总市值亿,PE,距52周高点%,概念标签
1,688206.SH,概伦电子,软件开发,SEMI,-3.8483,0.3,208.1,-423.29,-95.9,国产芯片|存储芯片
2,688551.SH,科威尔,其他电源设备Ⅱ,SEMI,-3.4275,0.3,41.5,137.6,-56.0,半导体概念
3,301326.SZ,捷邦科技,消费电子,AI,-3.3477,0.4,77.7,-130.1,,液冷服务器
4,688081.SH,兴图新科,军工电子Ⅱ,AI,-3.3032,0.4,29.2,-240.75,,人工智能
5,301169.SZ,零点有数,专业服务,AI,-3.2103,0.4,36.6,-55.3,,人工智能
6,002536.SZ,飞龙股份,汽车零部件,AI+SEMI,-2.8162,0.7,280.5,185.24,-68.3,国产芯片|液冷服务器
7,688619.SH,罗普特,计算机设备,AI,-2.6958,0.8,26.7,-32.07,,AI智能体|AI芯片|人工智能|英伟达概念
8,301391.SZ,卡莱特,计算机设备,AI+SEMI,-2.6924,0.9,43.8,174.68,-74.7,人工智能|国产芯片
9,002600.SZ,领益智造,消费电子,AI,-2.6866,0.9,980.9,62.62,-74.0,人工智能|液冷服务器
10,603688.SH,石英股份,非金属材料Ⅱ,SEMI,-2.6731,0.9,256.2,140.2,-74.5,半导体概念|国产芯片|存储芯片
11,000050.SZ,深天马Ａ,光学光电子,SEMI,-2.6384,1.0,156.1,-10.73,,国产芯片
12,603806.SH,福斯特,光伏设备,SEMI,-2.6327,1.0,396.8,23.56,-57.2,先进封装
13,601231.SH,环旭电子,消费电子,AI+SEMI,-2.5723,1.1,618.7,37.63,-14.7,光通信模块|半导体概念
14,000727.SZ,冠捷科技,光学光电子,AI,-2.5615,1.1,98.3,-8.69,,人工智能
15,688420.SH,美腾科技,专用设备,AI,-2.5322,1.1,19.5,125.95,,人工智能
16,002301.SZ,齐心集团,文娱用品,AI,-2.5203,1.1,55.0,35.84,-90.3,人工智能
17,688391.SH,钜泉科技,半导体,SEMI,-2.5190,1.1,28.9,184.94,-67.3,半导体概念|国产芯片
18,688234.SH,天岳先进,半导体,SEMI,-2.4878,1.2,509.1,-434.26,,半导体概念|第三代半导体
19,688191.SH,智洋创新,电网设备,AI,-2.4864,1.2,69.9,-156.25,-81.0,人工智能
20,688182.SH,灿勤科技,通信设备,SEMI,-2.4706,1.3,111.2,98.85,-68.8,半导体概念
21,300440.SZ,运达科技,IT服务Ⅱ,AI,-2.4546,1.3,83.1,-132.99,-81.2,人工智能
22,300455.SZ,航天智装,计算机设备,SEMI,-2.4178,1.4,122.1,2386.23,,国产芯片|存储芯片
23,603666.SH,亿嘉和,自动化设备,AI,-2.4062,1.4,54.4,-21.42,,AIGC概念|多模态AI
24,301024.SZ,霍普股份,工程咨询服务Ⅱ,AI,-2.3892,1.5,20.3,-26.46,,人工智能
25,301018.SZ,申菱环境,通用设备,AI,-2.3889,1.5,335.7,296.52,-49.0,液冷服务器
26,600601.SH,方正科技,元件,AI,-2.3658,1.5,493.2,42.99,-79.6,光通信模块
27,600246.SH,万通发展,房地产开发,SEMI,-2.3613,1.6,220.9,-49.19,,国产芯片
28,300745.SZ,欣锐科技,汽车零部件,SEMI,-2.3598,1.6,48.4,226.19,,第三代半导体
29,601137.SH,博威合金,金属新材料,AI+SEMI,-2.3566,1.6,178.0,22.57,,半导体概念|液冷服务器
30,603386.SH,骏亚科技,元件,SEMI,-2.3216,1.7,44.2,-54.05,,半导体概念
31,300739.SZ,明阳电路,元件,AI+SEMI,-2.2914,1.8,82.5,140.95,-77.1,光通信模块|半导体概念|国产芯片
32,688272.SH,富吉瑞,军工电子Ⅱ,SEMI,-2.2784,1.8,21.2,-39.4,,半导体概念
33,603977.SH,国泰集团,化学制品,SEMI,-2.2564,1.9,73.1,37.28,-63.1,国产芯片
34,688589.SH,力合微,半导体,AI+SEMI,-2.2458,1.9,28.4,73.58,-89.7,人工智能|半导体概念|国产芯片|算力概念
35,300731.SZ,科创新源,橡胶,AI+SEMI,-2.2430,1.9,74.2,-618.83,-87.3,液冷服务器|第三代半导体
36,688661.SH,和林微纳,半导体,AI+SEMI,-2.2296,2.0,153.0,-1132.2,,半导体概念|国产芯片|英伟达概念
37,002965.SZ,祥鑫科技,汽车零部件,AI,-2.2197,2.0,79.3,-116.16,-80.4,液冷服务器
38,000032.SZ,深桑达Ａ,专业工程,AI+SEMI,-2.2134,2.0,173.3,-52.57,,AI智能体|半导体概念|多模态AI|算力概念
39,002782.SZ,可立克,其他电子Ⅱ,SEMI,-2.2125,2.1,74.3,51.76,-55.5,第三代半导体
40,605365.SH,立达信,照明设备Ⅱ,SEMI,-2.2089,2.1,72.0,51.61,-58.3,国产芯片
41,605286.SH,同力天启,专用设备,AI,-2.1941,2.2,46.0,126.58,-19.5,人工智能
42,002851.SZ,麦格米特,其他电源设备Ⅱ,AI+SEMI,-2.1884,2.2,701.1,152.82,-73.8,国产芯片|第三代半导体|英伟达概念
43,688601.SH,力芯微,半导体,SEMI,-2.1775,2.2,66.0,-1185.3,-80.8,半导体概念|国产芯片|汽车芯片
44,688380.SH,中微半导,半导体,SEMI,-2.1285,2.4,166.1,48.39,-7.8,半导体概念|国产芯片|存储芯片|汽车芯片
45,603650.SH,彤程新材,橡胶,SEMI,-2.1008,2.5,394.0,50.64,-2.5,存储芯片
46,301269.SZ,华大九天,软件开发,AI+SEMI,-2.0969,2.5,499.9,-171.2,,人工智能|国产芯片|存储芯片
47,688478.SH,晶升股份,半导体,SEMI,-2.0650,2.6,66.5,-189.75,,半导体概念|存储芯片|第三代半导体
48,300433.SZ,蓝思科技,消费电子,AI,-2.0649,2.7,2003.3,173.65,-34.6,液冷服务器
49,688061.SH,灿瑞科技,半导体,SEMI,-2.0615,2.7,41.3,-49.19,,半导体概念|国产芯片
50,688138.SH,清溢光电,半导体,SEMI,-2.0609,2.7,107.7,48.34,-39.2,半导体概念|国产芯片
51,300990.SZ,同飞股份,通用设备,AI,-2.0495,2.8,125.4,52.44,46.5,液冷服务器
52,600114.SH,东睦股份,通用设备,AI,-2.0472,2.8,196.7,39.07,-17.6,光通信模块|英伟达概念
53,300814.SZ,中富电路,元件,AI+SEMI,-2.0470,2.8,254.6,329.64,-73.4,CPO概念|先进封装|光通信模块|半导体概念|液冷服务器
54,301028.SZ,鼎熔岩,通用设备,SEMI,-2.0200,3.0,49.2,18.43,-37.7,半导体概念
55,688079.SH,美迪凯,光学光电子,SEMI,-1.9931,3.1,64.1,-38.63,,半导体概念
56,688360.SH,德马科技,通用设备,AI,-1.9739,3.2,40.7,25.69,-65.0,人工智能
57,603662.SH,柯力传感,通用设备,AI,-1.9671,3.2,134.7,81.9,9.0,人工智能
58,688125.SH,安达智能,自动化设备,SEMI,-1.9651,3.2,97.9,-78.26,,国产芯片
59,600100.SH,同方股份,计算机设备,AI,-1.9648,3.2,221.1,-30.13,-90.1,AI语料|人工智能|算力概念
60,688531.SH,日联科技,专用设备,AI+SEMI,-1.9359,3.4,219.9,85.88,33.6,人工智能|半导体概念
61,688628.SH,优利德,通用设备,AI,-1.9113,3.5,93.6,33.42,72.8,AI智能体|人工智能
62,002957.SZ,科瑞技术,自动化设备,AI+SEMI,-1.8922,3.6,171.6,61.8,-29.0,光通信模块|半导体概念|国产芯片
63,300812.SZ,易天股份,消费电子,SEMI,-1.8685,3.7,37.1,223.07,,先进封装|半导体概念|第三代半导体
64,688595.SH,芯海科技,半导体,AI+SEMI,-1.8603,3.8,39.1,-25.09,,人工智能|半导体概念|国产芯片|汽车芯片
65,688449.SH,联芸科技,半导体,SEMI,-1.8489,3.9,303.8,857.15,-61.8,半导体概念|存储芯片
66,688126.SH,沪硅产业,半导体,SEMI,-1.8431,3.9,817.3,-42.34,,半导体概念|国产芯片|存储芯片
67,688220.SH,翱捷科技-U,半导体,AI+SEMI,-1.8309,4.1,373.4,-333.15,,人工智能|半导体概念|国产芯片|汽车芯片
68,000810.SZ,创维数字,黑色家电,AI,-1.8227,4.1,107.3,32.37,-77.6,AIGC概念|人工智能
69,300782.SZ,卓胜微,半导体,SEMI,-1.8214,4.1,428.7,-74.26,,半导体概念|国产芯片
70,603895.SH,天永智能,专用设备,AI,-1.8209,4.1,27.1,129.89,-84.3,人工智能
71,600184.SH,光电股份,地面兵装Ⅱ,AI,-1.8144,4.2,100.7,2244.39,-91.2,CPO概念|光通信模块
72,300394.SZ,天孚通信,通信设备,AI,-1.8092,4.2,2721.6,113.0,112.9,CPO概念|算力概念
73,300304.SZ,云意电气,汽车零部件,SEMI,-1.8031,4.3,99.4,29.66,-53.0,半导体概念|国产芯片|汽车芯片
74,688045.SH,必易微,半导体,SEMI,-1.7813,4.5,40.9,54.44,-17.1,半导体概念|国产芯片
75,600171.SH,上海贝岭,半导体,AI+SEMI,-1.7666,4.5,157.2,175.27,-68.9,光通信模块|半导体概念|国产芯片|存储芯片|第三代半导体
76,688387.SH,信科移动-U,通信设备,AI,-1.7662,4.6,420.5,-82.03,,人工智能
77,301095.SZ,广立微,软件开发,AI+SEMI,-1.7583,4.6,146.2,-341.16,-54.2,CPO概念|国产芯片
78,300553.SZ,集智股份,通用设备,AI,-1.7510,4.6,45.6,172.62,-84.6,人工智能
79,002993.SZ,奥海科技,消费电子,AI+SEMI,-1.7477,4.7,102.9,55.16,24.7,CPO概念|第三代半导体
80,688102.SH,斯瑞新材,金属新材料,AI,-1.7461,4.7,249.3,144.7,-79.7,CPO概念
81,600640.SH,国脉文化,广告营销,AI,-1.7423,4.7,82.6,261.94,-97.0,AI应用|AI智能体
82,603203.SH,快克智能,自动化设备,AI+SEMI,-1.7419,4.7,141.4,45.87,-54.8,CPO概念|人工智能|先进封装|光通信模块|半导体概念|存储芯片|液冷服务器
83,002935.SZ,天奥电子,军工电子Ⅱ,SEMI,-1.7414,4.7,65.0,351.77,-84.4,国产芯片|存储芯片
84,603685.SH,晨丰科技,光学光电子,AI,-1.7358,4.8,61.9,155.16,-85.4,算力概念
85,603163.SH,圣晖集成,专业工程,SEMI,-1.7213,4.8,80.1,57.32,61.9,半导体概念
86,300623.SZ,捷捷微电,半导体,SEMI,-1.7199,4.8,248.1,41.67,-36.6,半导体概念|国产芯片|汽车芯片|第三代半导体
87,688419.SH,耐科装备,半导体,SEMI,-1.7179,4.9,65.0,66.06,-23.2,半导体概念
88,688262.SH,国芯科技,半导体,AI+SEMI,-1.7102,4.9,88.5,-45.47,,AI芯片|人工智能|半导体概念|国产芯片|存储芯片|汽车芯片
89,300376.SZ,易事特,其他电源设备Ⅱ,AI+SEMI,-1.7019,5.0,103.4,173.44,,半导体概念|液冷服务器|第三代半导体|算力概念
90,002518.SZ,科士达,其他电源设备Ⅱ,AI,-1.6990,5.0,200.6,36.17,9.7,液冷服务器
91,600651.SH,飞乐音响,汽车零部件,SEMI,-1.6913,5.1,141.9,562.24,-97.6,国产芯片
92,603155.SH,新亚强,化学制品,SEMI,-1.6875,5.1,63.3,43.8,-79.2,半导体概念
93,688371.SH,菲沃泰,电子化学品Ⅱ,AI,-1.6816,5.2,90.6,-106.76,-99.2,液冷服务器
94,688665.SH,四方光电,通用设备,SEMI,-1.6761,5.2,43.7,27.12,27.3,半导体概念
95,688592.SH,司南导航,通信设备,SEMI,-1.6729,5.2,27.5,-94.97,-83.7,国产芯片
96,688249.SH,晶合集成,半导体,SEMI,-1.6708,5.3,859.4,175.13,-72.4,半导体概念
97,688556.SH,高测股份,光伏设备,SEMI,-1.6612,5.3,66.3,-33.0,,半导体概念|第三代半导体
98,002129.SZ,TCL中环,光伏设备,SEMI,-1.6609,5.3,378.0,-5.74,,半导体概念
99,300816.SZ,艾可蓝,汽车零部件,AI,-1.6595,5.4,41.2,51.91,20.4,AI应用
100,002937.SZ,兴瑞科技,汽车零部件,AI,-1.6537,5.4,91.8,63.44,-55.5,液冷服务器
101,688322.SH,奥比中光-W,光学光电子,AI+SEMI,-1.6430,5.4,381.9,458.53,-73.5,人工智能|国产芯片|英伟达概念
102,603090.SH,宏盛股份,通用设备,AI,-1.6388,5.5,37.3,54.07,-23.8,液冷服务器
103,001287.SZ,中电港,其他电子Ⅱ,AI+SEMI,-1.6334,5.5,169.1,16.48,-18.9,人工智能|国产芯片|存储芯片|英伟达概念
104,002430.SZ,杭氧股份,化学制品,SEMI,-1.6328,5.5,223.7,21.09,1.0,半导体概念
105,603931.SH,格林达,电子化学品Ⅱ,SEMI,-1.6327,5.5,69.7,59.48,-39.9,半导体概念|国产芯片
106,300161.SZ,华中数控,通用设备,AI,-1.6274,5.6,52.0,-16.43,,人工智能
107,688383.SH,新益昌,专用设备,SEMI,-1.6088,5.8,124.8,132.03,,半导体概念
108,300518.SZ,新迅达,互联网电商,SEMI,-1.6030,5.9,45.6,-83.13,,半导体概念|国产芯片
109,603002.SH,宏昌电子,电子化学品Ⅱ,AI,-1.5995,5.9,177.6,225.42,-94.8,英伟达概念
110,001339.SZ,智微智能,计算机设备,AI,-1.5990,5.9,244.6,31.49,39.9,人工智能|算力概念|英伟达概念
111,002730.SZ,电光科技,专用设备,AI,-1.5979,5.9,75.6,86.43,-81.1,人工智能|算力概念
112,300046.SZ,台基股份,半导体,SEMI,-1.5852,6.0,57.7,85.94,-81.8,半导体概念|国产芯片|第三代半导体
113,600605.SH,汇通能源,一般零售,SEMI,-1.5709,6.1,49.8,96.64,-85.8,半导体概念
114,688458.SH,美芯晟,半导体,SEMI,-1.5666,6.2,37.2,-172.26,,半导体概念
115,600516.SH,方大炭素,冶钢原料,SEMI,-1.5633,6.2,202.9,572.61,-97.6,半导体概念
116,605588.SH,冠石科技,光学光电子,SEMI,-1.5622,6.3,34.6,-37.59,,半导体概念
117,601689.SH,拓普集团,汽车零部件,AI,-1.5559,6.3,804.6,36.45,59.1,液冷服务器
118,600234.SH,科新发展,装修装饰Ⅱ,AI,-1.5498,6.4,55.4,-893.18,,算力概念
119,300842.SZ,帝科股份,光伏设备,SEMI,-1.5408,6.4,90.5,156.05,,国产芯片|存储芯片
120,603375.SH,盛景微,半导体,SEMI,-1.5399,6.4,37.6,645.01,,半导体概念|国产芯片|汽车芯片
121,300870.SZ,欧陆通,其他电源设备Ⅱ,AI+SEMI,-1.5337,6.5,309.9,-617.69,19.2,液冷服务器|第三代半导体
122,300395.SZ,菲利华,航空装备Ⅱ,SEMI,-1.5278,6.5,441.6,74.9,-1.8,半导体概念
123,603319.SH,美湖股份,汽车零部件,AI,-1.5253,6.5,86.3,97.36,-78.9,液冷服务器
124,002943.SZ,宇晶股份,通用设备,SEMI,-1.5204,6.6,87.2,-111.86,-87.5,半导体概念
125,688153.SH,唯捷创芯,半导体,SEMI,-1.5164,6.7,108.5,-56.34,-96.8,半导体概念|国产芯片|汽车芯片
126,301268.SZ,铭利达,通用设备,AI,-1.5108,6.7,52.8,239.68,,液冷服务器
127,600770.SH,综艺股份,综合Ⅱ,AI+SEMI,-1.5091,6.8,64.9,68.81,-89.5,人工智能|半导体概念|国产芯片
128,600207.SH,安彩高科,光伏设备,SEMI,-1.5070,6.8,46.9,-7.93,,半导体概念
129,688103.SH,国力电子,其他电子Ⅱ,SEMI,-1.5029,6.8,70.7,262.69,-31.4,半导体概念
130,688418.SH,震有科技,通信设备,AI,-1.5023,6.8,61.8,-23.67,,光通信模块
131,000962.SZ,东方钽业,小金属,SEMI,-1.5002,6.9,271.1,110.84,-55.3,半导体概念
132,301317.SZ,鑫磊股份,通用设备,AI,-1.4895,6.9,67.3,-86.71,,液冷服务器
133,688003.SH,天准科技,自动化设备,AI+SEMI,-1.4599,7.2,161.2,81.82,-3.1,CPO概念|人工智能|半导体概念|英伟达概念
134,688130.SH,晶华微,半导体,SEMI,-1.4441,7.3,28.4,-702.23,,半导体概念|国产芯片
135,002983.SZ,芯瑞达,光学光电子,SEMI,-1.4426,7.3,42.5,41.85,-50.7,半导体概念
136,300939.SZ,秋田微,光学光电子,AI,-1.4391,7.4,74.1,107.35,-47.6,人工智能
137,688056.SH,莱伯泰科,通用设备,SEMI,-1.4383,7.4,27.7,104.56,-49.2,半导体概念
138,301325.SZ,曼恩斯特,电池,SEMI,-1.4306,7.5,43.7,-26.67,,先进封装
139,688620.SH,安凯微,半导体,SEMI,-1.4222,7.6,61.2,-77.88,,半导体概念|国产芯片
140,002803.SZ,吉宏股份,互联网电商,AI,-1.4188,7.6,84.6,26.81,-30.9,AIGC概念|人工智能|多模态AI
141,301265.SZ,华新科技,环境治理,SEMI,-1.4083,7.8,59.8,46.21,-73.1,存储芯片
142,688187.SH,时代电气,轨交设备Ⅱ,SEMI,-1.4081,7.8,633.7,18.5,210.8,半导体概念|第三代半导体
143,603985.SH,恒润股份,风电设备,AI,-1.4021,7.8,71.7,52.44,-74.7,算力概念|英伟达概念
144,300839.SZ,博汇股份,炼化及贸易,AI,-1.3974,7.9,40.7,21.76,-87.6,液冷服务器|算力概念
145,001389.SZ,广合科技,元件,AI+SEMI,-1.3838,8.0,707.2,37.0,213.0,人工智能|存储芯片
146,300913.SZ,兆龙互连,通信设备,AI,-1.3835,8.0,119.6,61.6,-27.8,光通信模块
147,688337.SH,普源精电,通用设备,AI,-1.3835,8.1,93.9,101.43,-51.8,光通信模块
148,002443.SZ,金洲管道,特钢Ⅱ,AI,-1.3800,8.1,48.9,28.53,-68.2,液冷服务器
149,300689.SZ,澄天伟业,通信设备,AI+SEMI,-1.3780,8.2,61.3,1121.79,-93.7,人工智能|半导体概念|国产芯片|液冷服务器
150,688739.SH,成大生物,生物制品,AI,-1.3727,8.2,85.6,-1122.05,-86.2,AI应用
151,688711.SH,宏微科技,半导体,SEMI,-1.3727,8.3,54.1,1488.96,-92.2,半导体概念|国产芯片|第三代半导体
152,688305.SH,科德数控,通用设备,SEMI,-1.3721,8.3,82.3,91.24,-32.1,半导体概念
153,301077.SZ,星华新材,化学制品,AI,-1.3707,8.3,35.0,26.69,-24.8,人工智能|算力概念|英伟达概念
154,603260.SH,合盛硅业,化学制品,SEMI,-1.3694,8.4,397.6,128.51,,半导体概念
155,603721.SH,中广天择,影视院线,AI,-1.3693,8.4,22.5,-74.48,-79.1,AI语料|人工智能
156,605056.SH,咸亨国际,通用设备,AI,-1.3662,8.4,56.3,44.4,-36.2,AI应用|AI智能体|人工智能
157,688259.SH,创耀科技,半导体,SEMI,-1.3649,8.5,33.5,80.74,-30.6,半导体概念|国产芯片
158,600498.SH,烽火通信,通信设备,AI+SEMI,-1.3626,8.5,531.3,345.98,-69.1,CPO概念|光通信模块|国产芯片|液冷服务器|算力概念
159,688132.SH,邦彦技术,军工电子Ⅱ,AI,-1.3604,8.6,20.1,-11.58,,AI应用|AI智能体
160,688376.SH,美埃科技,环保设备Ⅱ,SEMI,-1.3548,8.6,89.9,70.94,-18.0,半导体概念
161,001270.SZ,铖昌科技,军工电子Ⅱ,SEMI,-1.3480,8.7,203.0,133.05,-33.6,国产芯片|第三代半导体
162,300219.SZ,鸿利智汇,光学光电子,SEMI,-1.3473,8.8,48.0,57.78,-82.6,半导体概念
163,688503.SH,聚和材料,光伏设备,AI+SEMI,-1.3380,8.9,214.9,18.55,156.0,半导体概念|存储芯片|液冷服务器
164,688529.SH,豪森智能,专用设备,AI,-1.3270,8.9,26.5,-7.02,,人工智能
165,002645.SZ,华宏科技,环保设备Ⅱ,AI,-1.3242,9.0,143.3,16.55,-48.3,人工智能
166,688486.SH,龙迅股份,半导体,SEMI,-1.3240,9.0,80.5,52.85,-2.9,半导体概念|国产芯片
167,301189.SZ,奥尼电子,消费电子,AI,-1.3104,9.2,81.0,123.76,,算力概念|英伟达概念
168,688699.SH,明微电子,半导体,SEMI,-1.3050,9.2,65.1,38.3,-32.9,半导体概念|国产芯片
169,688112.SH,鼎阳科技,通用设备,AI,-1.3038,9.3,108.9,59.3,-1.3,英伟达概念
170,300647.SZ,超频三,消费电子,AI,-1.2996,9.3,25.8,74.57,,液冷服务器
171,688401.SH,路维光电,半导体,SEMI,-1.2825,9.4,141.7,51.94,32.0,半导体概念|国产芯片|第三代半导体
172,300602.SZ,飞荣达,消费电子,AI,-1.2790,9.5,252.9,50.05,-23.1,液冷服务器
173,605178.SH,时空科技,专业工程,SEMI,-1.2778,9.5,64.7,-238.2,,半导体概念|存储芯片
174,688170.SH,德龙激光,自动化设备,SEMI,-1.2764,9.6,54.5,-53.36,-83.8,存储芯片|第三代半导体
175,688484.SH,南芯科技,半导体,SEMI,-1.2750,9.6,149.7,-166.83,-83.5,半导体概念|国产芯片|汽车芯片
176,603681.SH,永冠新材,化学制品,AI,-1.2746,9.6,42.9,40.04,-42.1,AI智能体|人工智能
177,300128.SZ,锦富技术,消费电子,AI,-1.2742,9.6,62.6,-28.62,,液冷服务器|英伟达概念
178,688539.SH,高华科技,元件,SEMI,-1.2708,9.7,46.1,-316.75,-71.8,国产芯片
179,688097.SH,博众精工,自动化设备,AI+SEMI,-1.2631,9.8,216.0,41.99,54.0,人工智能|光通信模块|半导体概念
180,002906.SZ,华阳集团,汽车零部件,AI,-1.2611,9.8,148.2,18.46,60.3,光通信模块|英伟达概念
181,300476.SZ,胜宏科技,元件,AI,-1.2607,9.8,2407.8,46.72,376.2,英伟达概念
182,300486.SZ,东杰智能,自动化设备,AI,-1.2595,9.9,105.0,295.49,-95.0,人工智能
183,688379.SH,华光新材,通用设备,AI+SEMI,-1.2577,9.9,51.4,34.65,36.6,半导体概念|国产芯片|液冷服务器
184,600582.SH,天地科技,专用设备,AI,-1.2452,10.0,197.8,11.42,-65.1,人工智能
185,688516.SH,奥特维,光伏设备,SEMI,-1.2370,10.1,133.8,39.3,26.4,半导体概念
186,002811.SZ,郑中设计,装修装饰Ⅱ,AI,-1.2362,10.1,40.7,28.49,-46.4,AIGC概念|人工智能
187,600879.SH,航天电子,航天装备Ⅱ,SEMI,-1.2313,10.2,463.6,370.51,-93.1,国产芯片
188,600203.SH,福日电子,消费电子,AI+SEMI,-1.2309,10.3,58.5,35.07,-97.8,人工智能|汽车芯片
189,600869.SH,远东股份,电网设备,AI,-1.2296,10.3,358.6,87.31,-94.6,液冷服务器
190,300671.SZ,富满微,半导体,SEMI,-1.2279,10.3,124.2,68.52,,半导体概念|国产芯片|存储芯片|第三代半导体
191,301560.SZ,众捷汽车,汽车零部件,AI,-1.2226,10.4,27.1,-161.16,-68.4,液冷服务器
192,301678.SZ,新恒汇,半导体,SEMI,-1.2206,10.5,106.1,156.81,-70.4,半导体概念
193,603660.SH,苏州科达,计算机设备,AI,-1.2187,10.6,62.6,-9.53,,AI应用|人工智能|多模态AI
194,600198.SH,大唐电信,通信设备,SEMI,-1.2181,10.6,102.3,-83.85,,半导体概念|国产芯片
195,603290.SH,斯达半导,半导体,SEMI,-1.2177,10.6,222.7,171.3,-18.7,半导体概念|国产芯片|第三代半导体
196,002126.SZ,银轮股份,汽车零部件,AI,-1.2173,10.6,325.2,37.98,13.2,液冷服务器
197,301179.SZ,泽宇智能,电网设备,AI,-1.2171,10.6,85.8,72.74,-57.1,人工智能|多模态AI
198,688327.SH,云从科技-UW,IT服务Ⅱ,AI,-1.2162,10.7,100.4,-63.7,,AI应用|AI智能体|人工智能|多模态AI|算力概念
199,688173.SH,希荻微,半导体,SEMI,-1.2069,10.8,57.2,-187.11,,半导体概念|国产芯片|汽车芯片
200,600959.SH,江苏有线,电视广播Ⅱ,AI,-1.2044,10.8,150.5,72.37,-96.8,AIGC概念|人工智能|算力概念
201,300727.SZ,润禾材料,化学制品,AI,-1.2035,10.8,48.3,44.12,-31.6,液冷服务器
202,688155.SH,先惠技术,电池,AI,-1.2034,10.8,76.4,12.44,250.3,人工智能
203,688035.SH,德邦科技,电子化学品Ⅱ,AI+SEMI,-1.2006,10.9,92.6,68.03,-8.5,半导体概念|存储芯片|液冷服务器
204,300882.SZ,万胜智能,电网设备,AI,-1.1996,10.9,40.4,37.42,-72.3,人工智能
205,002056.SZ,横店东磁,光伏设备,AI,-1.1971,10.9,346.7,18.28,9.4,算力概念
206,300800.SZ,力合科技,环保设备Ⅱ,AI,-1.1915,11.0,23.4,55.75,-79.5,AIGC概念
207,603859.SH,能科科技,IT服务Ⅱ,AI,-1.1904,11.0,99.1,50.48,-15.3,AI应用|AI智能体|人工智能
208,603663.SH,三祥新材,化学原料,SEMI,-1.1847,11.1,247.0,160.36,-74.8,半导体概念
209,603933.SH,睿能科技,其他电子Ⅱ,SEMI,-1.1789,11.2,39.0,29.66,-68.6,半导体概念
210,000969.SZ,安泰科技,金属新材料,AI+SEMI,-1.1779,11.2,173.5,43.73,-63.7,光通信模块|半导体概念|第三代半导体
211,603360.SH,百傲化学,农化制品,SEMI,-1.1755,11.2,88.4,111.48,-75.6,半导体概念
212,300749.SZ,顶固集创,家居用品,AI,-1.1744,11.3,49.9,23.62,-47.1,人工智能
213,688568.SH,中科星图,IT服务Ⅱ,AI,-1.1713,11.3,250.5,-42.08,,AI智能体|人工智能|多模态AI|算力概念
214,601126.SH,四方股份,电网设备,AI,-1.1696,11.3,367.7,33.97,3.0,人工智能
215,300507.SZ,苏奥传感,汽车零部件,SEMI,-1.1653,11.4,50.7,77.39,-88.2,半导体概念|国产芯片
216,300820.SZ,英杰电气,其他电源设备Ⅱ,SEMI,-1.1624,11.4,117.0,80.49,-6.1,半导体概念|第三代半导体
217,688733.SH,壹石通,电池,SEMI,-1.1534,11.5,60.3,3594.8,,半导体概念
218,688107.SH,安路科技,半导体,AI+SEMI,-1.1383,11.7,120.3,-73.67,,AI芯片|半导体概念|国产芯片
219,002334.SZ,英威腾,自动化设备,AI+SEMI,-1.1304,11.8,53.3,-43.85,-82.5,半导体概念|液冷服务器
220,688256.SH,寒武纪,半导体,AI+SEMI,-1.1275,11.8,6093.9,131.85,429.9,AI芯片|人工智能|先进封装|半导体概念|国产芯片|算力概念
221,688209.SH,英集芯,半导体,SEMI,-1.1254,11.9,96.7,53.59,-53.1,半导体概念|国产芯片|汽车芯片
222,600458.SH,时代新材,综合Ⅱ,SEMI,-1.1247,11.9,111.6,16.13,-41.6,半导体概念
223,300487.SZ,蓝晓科技,塑料,SEMI,-1.1196,12.0,322.0,38.28,71.5,半导体概念|国产芯片|存储芯片|第四代半导体
224,603186.SH,华正新材,元件,SEMI,-1.1190,12.0,259.1,209.52,84.5,半导体概念
225,688313.SH,仕佳光子,通信设备,AI+SEMI,-1.1050,12.2,696.3,110.6,4.1,CPO概念|光通信模块|国产芯片
226,603633.SH,徕木股份,消费电子,AI+SEMI,-1.1000,12.3,26.9,-18.77,,人工智能|半导体概念
227,002970.SZ,锐明技术,计算机设备,AI,-1.0966,12.3,91.5,52.64,76.9,人工智能
228,002179.SZ,中航光电,军工电子Ⅱ,AI,-1.0961,12.4,693.3,43.52,-8.6,CPO概念|液冷服务器
