rank,code,name,price,mv_yi,pe,pb,bm,bm_tercile,c_score,c1,c2,c3,c4,con_roe,con_np_yoy,rev4w,rev13w,expectation,conviction,weight
1,601668.SH,中国建筑,4.47,1826.4,4.8,0.38,2.655,high,3,0,1,1,1,7.5,1.6,340.7,232.8,undervalued,0.5,0.06
2,002958.SZ,青农商行,2.95,163.9,5.1,0.44,2.298,high,3,0,1,1,1,7.1,5.0,86.0,86.0,undervalued,0.5,0.06
3,000001.SZ,平安银行,11.59,2243.3,5.2,0.48,2.087,high,3,0,1,1,1,7.7,2.5,218.1,50.1,undervalued,0.5,0.06
4,601528.SH,瑞丰银行,4.99,97.5,5.0,0.49,2.028,high,3,0,1,1,1,9.2,2.2,91.6,56.4,undervalued,0.5,0.06
5,603323.SH,苏农银行,4.22,94.4,4.6,0.49,2.027,high,3,0,1,1,1,10.2,5.5,13.0,13.0,undervalued,0.5,0.06
6,600820.SH,隧道股份,5.47,169.2,7.8,0.53,1.878,high,3,0,1,1,1,5.2,7.7,212.7,165.7,undervalued,0.5,0.06
7,002839.SZ,张家港行,4.37,107.6,5.4,0.57,1.75,mid,3,0,1,1,1,9.2,5.2,94.6,59.1,moderate,0.3,0.045454545454545456
8,002061.SZ,浙江交科,3.53,91.7,9.5,0.59,1.709,mid,3,0,1,1,1,6.5,14.3,455.4,455.4,moderate,0.3,0.045454545454545456
9,601658.SH,邮储银行,5.04,6052.8,6.9,0.59,1.687,mid,3,0,1,1,1,7.4,2.8,48.1,65.5,moderate,0.3,0.045454545454545456
10,600717.SH,天津港,4.31,124.4,10.8,0.61,1.643,mid,3,0,1,1,1,5.5,17.7,907.1,907.1,moderate,0.3,0.045454545454545456
11,600335.SH,国机汽车,5.2,75.0,16.1,0.64,1.553,mid,3,0,1,1,1,3.9,10.6,1272.5,1272.5,moderate,0.3,0.045454545454545456
12,600064.SH,南京高科,7.68,131.3,7.7,0.66,1.515,mid,3,0,1,1,1,10.9,24.4,315.8,315.8,moderate,0.3,0.045454545454545456
13,601963.SH,重庆银行,11.16,406.4,6.8,0.67,1.488,mid,3,0,1,1,1,9.0,11.8,165.2,60.1,moderate,0.3,0.045454545454545456
14,601966.SH,玲珑轮胎,11.19,160.8,15.4,0.71,1.416,mid,3,0,1,1,1,7.6,37.8,6030.3,4307.6,moderate,0.3,0.045454545454545456
15,600020.SH,中原高速,3.8,85.2,13.1,0.72,1.398,mid,3,0,1,1,1,5.7,40.9,109.2,109.2,moderate,0.3,0.045454545454545456
16,601398.SH,工商银行,7.9,28120.5,7.6,0.72,1.381,mid,3,0,1,1,1,8.2,2.9,0.9,24.0,moderate,0.3,0.045454545454545456
17,601997.SH,贵阳银行,5.47,211.7,4.0,0.33,3.067,high,2,0,1,0,1,7.3,4.0,0.0,325.8,speculative,0.15,0.022727272727272728
18,601390.SH,中国中铁,4.38,1069.6,5.0,0.34,2.979,high,2,0,0,1,1,5.8,-0.3,328.5,261.1,speculative,0.15,0.022727272727272728
19,600000.SH,浦发银行,9.08,3070.8,6.0,0.41,2.41,high,2,0,1,1,0,6.1,5.7,69.5,-36.5,speculative,0.15,0.022727272727272728
20,601328.SH,交通银行,7.16,6362.2,6.6,0.55,1.806,high,2,0,1,0,1,7.2,3.2,-9.3,60.1,speculative,0.15,0.022727272727272728
