rank,code,name,price,mv_yi,pe,pb,bm,bm_tercile,c_score,c1,c2,c3,c4,con_roe,con_np_yoy,rev4w,rev13w,expectation,conviction,weight
1,601668.SH,中国建筑,4.4,1830.5,4.8,0.38,2.649,high,3,0,1,1,1,7.5,1.7,347.4,226.7,undervalued,0.5,0.06
2,600820.SH,隧道股份,5.31,170.1,7.8,0.54,1.867,high,3,0,1,1,1,5.2,7.7,183.7,162.5,undervalued,0.5,0.06
3,002061.SZ,浙江交科,3.43,92.8,9.7,0.59,1.689,high,3,0,1,1,1,6.5,14.3,455.4,337.7,undervalued,0.5,0.06
4,600020.SH,中原高速,3.74,85.0,13.0,0.71,1.402,mid,3,0,1,1,1,5.7,40.9,109.2,109.2,moderate,0.3,0.06
5,601163.SH,三角轮胎,12.74,104.2,10.7,0.75,1.328,mid,3,0,1,1,1,6.8,10.5,171.9,85.9,moderate,0.3,0.06
6,600496.SH,精工钢构,3.33,67.3,10.6,0.75,1.325,mid,3,0,1,1,1,7.0,16.1,89.2,74.1,moderate,0.3,0.06
7,003012.SZ,东鹏控股,4.68,55.2,16.6,0.76,1.32,mid,3,0,1,1,1,5.7,31.5,1524.9,1946.1,moderate,0.3,0.06
8,600720.SH,中交设计,5.08,120.0,8.4,0.76,1.308,mid,3,0,1,1,1,8.5,2.1,157.3,156.1,moderate,0.3,0.06
9,601390.SH,中国中铁,4.3,1069.6,5.0,0.34,2.979,high,2,0,0,1,1,5.7,-1.9,161.9,200.4,speculative,0.15,0.038461538461538464
10,600694.SH,大商股份,14.35,55.1,11.0,0.63,1.597,high,2,0,1,1,0,5.8,10.5,69.2,-1531.1,speculative,0.15,0.038461538461538464
11,000028.SZ,国药一致,19.48,121.5,11.3,0.64,1.554,high,2,0,1,1,0,6.0,5.6,317.3,-140.8,speculative,0.15,0.038461538461538464
12,600170.SH,上海建工,2.25,201.7,14.2,0.65,1.537,high,2,0,1,0,1,2.5,4.9,-10.3,290.8,speculative,0.15,0.038461538461538464
13,600827.SH,百联股份,7.48,135.4,11.0,0.67,1.5,high,2,0,1,0,1,4.4,42.5,-207.9,63.6,speculative,0.15,0.038461538461538464
14,601117.SH,中国化学,7.51,458.5,7.0,0.67,1.487,high,2,0,1,1,0,9.4,8.1,39.2,-64.7,speculative,0.15,0.038461538461538464
