rank,code,name,price,mv_yi,pe,yoy,rev4w,rev13w,rev26w,roe,peg
1,300277.SZ,汽轮科技,11.93,176.8,200.6,21614.0,293.6,-323.7,539572.3,4.6,0.02
2,688408.SH,中信博,24.82,54.5,,7127.9,1672.0,1605.8,38.7,14.8,
3,000301.SZ,东方盛虹,13.02,881.9,72.0,3940.8,711.3,5741.2,23679.5,13.6,0.03
4,000703.SZ,恒逸石化,18.34,726.9,12.3,3408.4,2418.1,4264.3,94040.6,26.9,0.02
5,000701.SZ,厦门信达,5.05,33.2,6.7,3140.4,265334.2,265334.2,319272.2,18.4,0.01
6,300821.SZ,东岳硅材,15.74,195.5,53.2,2002.1,16632.8,16632.8,136770.9,7.0,
7,002134.SZ,天津普林,20.93,51.4,324.3,1998.8,53094.3,53094.3,45421.8,16.6,0.1
8,300568.SZ,星源材质,14.4,210.5,1112.0,1978.9,84.8,808.4,3738.2,7.2,0.06
9,002466.SZ,天齐锂业,47.01,841.1,37.6,1624.7,360.4,1173.8,47846.1,15.2,0.03
10,688388.SH,嘉元科技,28.31,196.5,128.4,1567.4,1563.3,2906.9,15273.0,10.7,0.05
11,301327.SZ,华宝新能,44.41,78.0,,1520.6,242.1,242.1,-3653.0,4.4,0.07
12,688525.SH,佰维存储,227.82,1063.8,26.9,1494.8,4482.4,7020.7,43962.9,70.8,0.02
13,600230.SH,沧州大化,14.37,59.8,55.2,1434.5,4318.7,5661.1,43220.6,10.6,0.04
14,603520.SH,司太立,8.92,38.1,226.3,1366.5,1361.2,1150.5,-1778.6,5.5,0.06
15,603800.SH,洪田股份,66.16,136.1,572.9,1349.3,2826.2,7879.2,-1216.7,20.7,0.14
16,600869.SH,远东股份,16.2,358.6,297.0,1330.1,9.8,147.1,3893.8,16.8,0.09
17,300471.SZ,厚普股份,10.04,46.1,41.6,1311.6,1436112.2,1436112.2,29320.0,6.6,0.15
18,600078.SH,澄星股份,10.84,73.6,68.4,1169.4,4941.3,4941.3,20441.1,6.0,0.27
19,002182.SZ,宝武镁业,11.96,114.1,,1167.5,61.3,340.1,-5885.7,3.6,
20,301308.SZ,江波龙,369.66,1567.9,13.1,1160.4,3713.4,3692.3,47090.5,60.5,0.05
