rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
1,601117.SH,中国化学,7.59,457.9,7.0,1.86,8.1,0.74,9.4,10.7,33.49,0.025,False
2,000685.SZ,中山公用,11.39,163.1,7.6,2.87,14.1,0.61,10.3,24.4,4.38,0.025,False
3,600064.SH,南京高科,7.77,131.3,7.7,4.88,24.4,0.29,10.9,23.5,8.44,0.025,False
4,600970.SH,中材国际,7.76,205.0,7.7,3.29,8.4,0.81,11.9,18.4,12.09,0.025,False
5,601677.SH,明泰铝业,16.88,203.3,8.4,0.88,28.2,0.49,11.7,8.9,4.38,0.025,False
6,000612.SZ,焦作万方,11.26,132.5,9.3,1.67,32.6,0.62,16.5,28.5,11.87,0.025,True
7,600710.SH,苏美达,10.58,136.3,9.7,4.0,7.9,0.94,15.1,6.7,545.52,0.025,False
8,002011.SZ,盾安环境,10.16,105.2,10.0,,4.8,0.81,14.6,18.3,14.13,0.025,False
9,603049.SH,中策橡胶,49.3,429.4,10.1,2.78,7.5,0.95,16.4,19.8,6.31,0.025,False
10,600968.SH,海油发展,3.9,408.6,10.4,2.95,12.5,0.96,12.9,16.5,8.8,0.025,False
11,600233.SH,圆通速递,17.09,592.4,10.5,1.82,46.2,0.31,15.7,10.1,13.17,0.025,False
12,000528.SZ,柳    工,8.19,164.0,10.5,2.07,20.8,0.37,9.5,21.9,3.64,0.025,False
13,002170.SZ,芭田股份,11.32,107.9,10.6,1.87,40.9,0.26,25.4,37.2,14.12,0.025,True
14,601156.SH,东航物流,18.72,296.4,10.9,2.52,2.8,0.89,12.3,18.9,23.77,0.025,False
15,600323.SH,瀚蓝环境,30.23,241.3,10.9,1.87,15.9,0.68,13.5,34.5,16.01,0.025,True
16,605599.SH,菜百股份,16.14,133.0,11.0,3.98,10.8,0.82,21.2,7.8,5.34,0.025,False
17,603799.SH,华友钴业,40.4,761.2,11.0,1.38,14.6,0.41,12.9,19.3,6.06,0.025,False
18,600989.SH,宝丰能源,23.1,1702.8,11.1,1.83,50.1,0.39,27.3,39.7,12.0,0.025,True
19,601877.SH,正泰电器,26.09,563.5,11.1,1.99,15.8,0.82,10.8,24.4,48.29,0.025,True
20,002001.SZ,新 和 成,26.54,808.9,11.3,2.01,23.5,0.69,21.3,43.7,9.92,0.025,True
21,000550.SZ,江铃汽车,16.05,134.8,11.3,2.56,40.3,0.3,12.9,14.3,19.49,0.025,False
22,000680.SZ,山推股份,10.41,153.8,11.6,0.7,21.3,0.49,19.7,22.5,5.65,0.025,False
23,301219.SZ,腾远钴业,46.61,176.9,11.6,2.07,47.6,0.38,15.3,30.7,257.74,0.025,True
24,601918.SH,新集能源,10.34,282.9,11.6,1.63,16.5,0.82,12.8,40.5,11.97,0.025,True
25,002867.SZ,周大生,11.28,133.3,11.6,3.26,16.6,0.78,16.6,35.0,2019.35,0.025,True
26,601139.SH,深圳燃气,6.36,180.9,11.7,2.22,19.6,0.7,9.3,18.4,23.9,0.025,False
27,002078.SZ,太阳纸业,15.27,392.5,12.0,1.67,14.5,0.8,10.9,15.3,14.27,0.025,False
28,600761.SH,安徽合力,16.31,148.3,12.1,2.44,12.7,0.86,11.3,23.5,11.98,0.025,False
29,600066.SH,宇通客车,30.24,672.2,12.3,4.49,9.8,0.99,35.4,25.4,11.25,0.025,True
30,601216.SH,君正集团,4.64,373.0,12.3,4.49,14.4,0.71,11.5,21.0,14.51,0.025,False
31,601019.SH,山东出版,6.83,145.2,12.3,3.5,17.4,0.9,8.2,36.1,7.45,0.025,True
32,600803.SH,新奥股份,17.54,544.1,12.5,3.53,18.9,0.58,19.1,14.1,24.73,0.025,False
33,600933.SH,爱柯迪,14.0,142.6,12.6,1.62,18.5,0.52,12.5,29.4,14.18,0.025,True
34,600219.SH,南山铝业,4.9,551.2,12.6,2.16,4.7,0.94,9.4,22.3,10.64,0.025,False
35,000951.SZ,中国重汽,20.22,230.5,12.7,1.77,22.1,0.55,11.2,7.6,13.16,0.025,False
36,601975.SH,招商南油,4.01,187.2,12.8,,52.5,0.4,14.8,29.4,11.3,0.025,True
37,601058.SH,赛轮轮胎,13.99,457.4,12.9,1.31,26.8,0.41,17.3,25.2,10.3,0.025,True
38,601965.SH,中国汽研,14.52,139.4,12.9,1.28,12.0,0.74,13.1,45.9,9.72,0.025,True
39,603816.SH,顾家家居,25.32,229.4,13.0,3.89,15.0,0.8,14.2,33.1,12.69,0.025,True
40,600583.SH,海油工程,6.02,269.7,13.0,2.39,11.7,0.87,7.7,13.3,10.76,0.025,False
41,300850.SZ,新强联,25.09,103.8,13.0,0.39,22.5,0.38,12.5,28.4,1.08,0.025,True
42,600060.SH,海信视像,27.69,330.2,13.3,3.07,14.2,0.93,11.7,16.9,12.19,0.025,False
43,002444.SZ,巨星科技,29.98,341.5,13.3,0.8,15.8,0.71,13.5,33.0,5.11,0.025,True
44,600057.SH,厦门象屿,6.32,175.5,13.4,4.3,56.5,0.23,5.7,2.4,64.55,0.025,False
45,600426.SH,华鲁恒升,20.23,551.9,13.5,1.74,44.7,0.4,12.8,20.7,7.21,0.025,False
46,601702.SH,华峰铝业,16.05,161.1,13.5,1.1,18.7,0.59,18.9,14.1,1.54,0.025,False
47,601899.SH,紫金矿业,35.3,9184.4,13.6,1.16,58.1,0.31,32.9,31.1,10.42,0.025,True
48,300428.SZ,立中集团,18.8,125.9,13.6,0.81,19.0,0.62,10.6,10.0,2.91,0.025,False
49,002432.SZ,九安医疗,66.1,313.4,13.7,2.13,48.2,0.33,13.6,62.3,188.85,0.025,True
50,002701.SZ,奥瑞金,4.83,120.8,14.1,2.54,5.9,0.69,9.9,13.1,21.23,0.025,False
51,000425.SZ,徐工机械,8.09,929.9,14.1,2.84,28.6,0.44,12.2,22.6,16.39,0.025,False
52,601339.SH,百隆东方,7.76,116.2,14.1,5.98,51.3,0.43,10.3,14.4,17.33,0.025,False
53,000157.SZ,中联重科,7.1,611.5,14.1,4.07,15.7,0.54,8.9,27.8,8.53,0.025,True
54,603565.SH,中谷物流,12.71,283.9,14.3,5.38,30.0,0.56,19.9,25.4,13.35,0.025,True
55,603871.SH,嘉友国际,13.87,173.5,14.4,1.97,41.5,0.39,21.3,19.8,6.91,0.025,False
56,603338.SH,浙江鼎力,57.58,276.8,14.4,1.59,10.3,0.83,15.5,32.8,5.7,0.025,True
57,601633.SH,长城汽车,15.47,1304.8,14.4,1.02,8.4,0.66,10.9,20.3,40.23,0.025,False
58,601799.SH,星宇股份,85.86,239.1,14.4,0.77,14.5,0.46,14.2,19.7,9.73,0.025,False
59,600177.SH,雅戈尔,7.91,370.8,14.5,3.04,21.2,0.61,6.7,46.2,3.14,0.025,True
60,002128.SZ,电投能源,27.54,862.3,14.7,2.63,43.5,0.47,13.1,39.8,11.92,0.025,True
61,002847.SZ,盐津铺子,45.29,119.3,14.9,1.34,14.0,0.84,33.7,31.7,8.95,0.025,True
62,002563.SZ,森马服饰,5.89,157.1,15.0,4.26,23.2,0.87,9.1,45.6,14.24,0.025,True
