rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
1,601169.SH,北京银行,5.09,1095.2,5.3,4.86,1.9,0.82,5.1,3.8,428.27,0.025,False
2,601128.SH,常熟银行,6.23,233.1,5.4,2.87,10.8,0.47,12.9,3.8,376.72,0.025,False
3,002839.SZ,张家港行,4.4,107.8,5.4,3.53,5.2,1.0,9.2,7.6,48.16,0.025,False
4,601601.SH,中国太保,32.0,3076.6,5.7,3.63,8.9,0.57,15.8,1.6,66.16,0.025,False
5,601838.SH,成都银行,18.76,796.4,5.9,4.97,6.8,0.75,12.4,21.0,102.83,0.025,False
6,600928.SH,西安银行,3.59,161.3,6.0,3.25,10.6,0.58,6.8,8.9,888.64,0.025,False
7,600919.SH,江苏银行,12.07,2231.5,6.2,4.08,8.7,0.66,10.2,8.8,316.16,0.025,False
8,600926.SH,杭州银行,16.8,1217.8,6.2,2.71,12.8,0.45,11.6,3.1,61.77,0.025,False
9,601077.SH,渝农商行,6.86,782.5,6.2,4.74,8.9,0.65,8.7,8.0,83.61,0.025,False
10,601009.SH,南京银行,11.62,1449.0,6.3,3.87,9.2,0.66,10.4,4.6,134.73,0.025,False
11,601318.SH,中国平安,55.87,10163.8,6.4,2.41,10.0,0.73,13.7,1.1,57.95,0.025,False
12,002948.SZ,青岛银行,5.94,348.1,6.4,4.13,19.3,0.31,11.1,11.9,64.32,0.025,False
13,601963.SH,重庆银行,11.0,406.1,6.8,3.43,11.7,0.59,9.0,7.0,122.2,0.025,False
14,601665.SH,齐鲁银行,6.55,406.8,6.9,3.19,14.2,0.45,11.3,7.0,113.24,0.025,False
15,601117.SH,中国化学,7.61,462.8,7.1,1.86,8.1,0.75,9.4,10.7,33.49,0.025,False
16,002966.SZ,苏州银行,8.76,389.4,7.1,3.49,9.2,0.72,8.7,5.7,97.77,0.025,False
17,600704.SH,物产中大,4.96,257.5,7.2,3.1,5.7,0.94,7.7,2.5,268.25,0.025,False
18,002142.SZ,宁波银行,33.75,2247.9,7.2,2.1,11.6,0.59,10.9,7.7,92.88,0.025,False
19,601319.SH,中国人保,7.18,3201.8,7.5,1.75,16.1,0.46,14.8,1.6,32.04,0.025,False
20,000685.SZ,中山公用,11.33,166.4,7.7,2.87,14.1,0.62,10.3,24.4,4.38,0.025,True
21,600064.SH,南京高科,7.73,134.3,7.9,4.88,20.6,0.36,10.6,23.5,8.44,0.025,True
22,601677.SH,明泰铝业,16.97,208.6,8.6,0.88,28.2,0.5,11.7,8.9,4.38,0.025,False
23,000612.SZ,焦作万方,11.27,132.9,9.4,1.67,32.6,0.62,16.5,28.5,11.87,0.025,True
24,601211.SH,国泰海通,17.91,3138.2,9.7,2.28,25.0,0.58,9.0,3.2,43.23,0.025,False
25,000783.SZ,长江证券,9.32,502.1,9.7,2.94,43.1,0.59,11.8,-1.2,25.82,0.025,False
26,600710.SH,苏美达,10.57,137.5,9.8,4.0,7.9,0.94,15.1,6.7,545.52,0.025,False
27,601688.SH,华泰证券,19.3,1727.7,9.8,2.11,14.1,0.8,8.3,8.9,20.0,0.025,False
28,600968.SH,海油发展,3.98,396.4,10.1,2.95,12.5,0.93,13.5,16.5,8.8,0.025,False
29,603049.SH,中策橡胶,50.11,436.4,10.2,2.78,7.9,0.93,16.4,19.8,6.31,0.025,False
30,600233.SH,圆通速递,16.95,580.4,10.2,1.82,46.5,0.31,15.7,10.1,13.17,0.025,False
31,002011.SZ,盾安环境,10.29,108.6,10.3,,4.8,0.83,14.6,18.3,14.13,0.025,False
32,601881.SH,中国银河,12.31,1339.5,10.4,1.63,21.2,0.64,9.0,7.5,54.73,0.025,False
33,000776.SZ,广发证券,21.59,1657.3,10.6,1.88,29.7,0.49,9.6,36.0,3.03,0.025,True
34,000528.SZ,柳    工,7.95,167.3,10.7,2.07,20.3,0.39,9.5,21.9,3.64,0.025,False
35,002170.SZ,芭田股份,11.66,110.0,10.8,1.87,40.9,0.27,25.4,37.2,14.12,0.025,True
36,002128.SZ,电投能源,28.35,860.7,10.9,2.63,43.5,0.47,13.0,39.8,11.92,0.025,True
37,600030.SH,中信证券,27.93,4338.9,10.9,1.69,34.9,0.5,11.0,3.4,47.77,0.025,False
38,603799.SH,华友钴业,40.18,756.8,11.0,1.38,12.4,0.46,12.7,19.3,6.06,0.025,False
39,601156.SH,东航物流,18.77,298.6,11.0,2.52,2.8,0.89,12.3,18.9,23.77,0.025,False
40,601877.SH,正泰电器,25.74,558.1,11.0,1.99,15.8,0.81,10.8,24.4,48.29,0.025,True
41,600989.SH,宝丰能源,24.0,1694.7,11.0,1.83,49.1,0.4,27.1,39.7,12.0,0.025,True
42,601918.SH,新集能源,10.75,269.4,11.1,1.63,18.2,0.76,13.0,40.5,11.97,0.025,True
43,605599.SH,菜百股份,15.71,123.0,11.1,3.98,10.8,0.76,24.0,7.8,5.34,0.025,False
44,600323.SH,瀚蓝环境,29.99,245.4,11.1,1.87,15.9,0.69,13.5,34.5,16.01,0.025,True
45,002001.SZ,新 和 成,26.96,813.2,11.3,2.01,23.2,0.7,21.3,43.7,9.92,0.025,True
46,000550.SZ,江铃汽车,16.09,137.7,11.5,2.56,40.3,0.3,12.9,14.3,19.49,0.025,False
47,301219.SZ,腾远钴业,46.54,176.4,11.6,2.07,47.6,0.38,15.3,30.7,257.74,0.025,True
48,600958.SH,东方证券,9.19,775.7,11.6,1.51,28.2,0.57,8.0,4.4,21.47,0.025,False
49,601139.SH,深圳燃气,6.35,181.2,11.7,2.22,26.3,0.58,10.0,18.4,23.9,0.025,False
50,000680.SZ,山推股份,10.4,155.0,11.7,0.7,21.3,0.5,19.7,22.5,5.65,0.025,True
51,600120.SH,浙江东方,4.95,169.4,12.1,1.43,50.3,0.53,7.3,6.6,8.5,0.025,False
52,600066.SH,宇通客车,29.91,673.0,12.3,4.49,9.9,0.99,35.5,25.4,11.25,0.025,True
53,000792.SZ,盐湖股份,28.21,1489.6,12.3,,37.0,0.5,21.8,62.3,8.03,0.025,True
54,000728.SZ,国元证券,7.72,335.6,12.3,1.65,22.2,0.62,7.4,15.4,49.86,0.025,False
55,600803.SH,新奥股份,17.59,539.8,12.4,3.53,18.9,0.57,19.1,14.1,24.73,0.025,False
56,601019.SH,山东出版,6.69,141.7,12.4,3.5,17.4,0.88,8.5,36.1,7.45,0.025,True
57,002078.SZ,太阳纸业,14.89,431.0,12.6,1.67,15.0,0.89,11.2,15.3,14.27,0.025,False
58,600933.SH,爱柯迪,13.88,143.5,12.7,1.62,18.5,0.52,12.5,29.4,14.18,0.025,True
59,002867.SZ,周大生,11.13,121.6,12.7,3.26,16.6,0.71,18.2,35.0,2019.35,0.025,True
60,601975.SH,招商南油,3.97,185.3,12.7,,52.5,0.39,14.8,29.4,11.3,0.025,True
61,600219.SH,南山铝业,4.83,554.7,12.7,2.16,4.7,0.94,9.4,22.3,10.64,0.025,True
62,601216.SH,君正集团,4.66,390.7,12.7,4.49,14.4,0.74,12.8,21.0,14.51,0.025,False
63,600583.SH,海油工程,6.11,265.3,12.8,2.39,11.7,0.85,7.7,13.3,10.76,0.025,False
64,300850.SZ,新强联,24.81,102.6,12.9,0.39,22.5,0.38,12.5,28.4,1.08,0.025,True
65,601058.SH,赛轮轮胎,13.99,458.4,12.9,1.31,27.7,0.4,17.4,25.2,10.3,0.025,True
66,002545.SZ,东方铁塔,18.2,220.8,13.1,3.7,58.7,0.33,16.9,41.0,10.61,0.025,True
67,000951.SZ,中国重汽,22.39,237.9,13.1,1.77,22.1,0.56,11.2,7.6,13.16,0.025,False
68,601901.SH,方正证券,6.91,561.4,13.2,0.46,27.9,0.8,9.1,6.6,18.11,0.025,False
69,603816.SH,顾家家居,24.79,233.7,13.2,3.89,15.0,0.82,14.2,33.1,12.69,0.025,True
70,601702.SH,华峰铝业,15.88,158.4,13.3,1.1,18.7,0.58,18.9,14.1,1.54,0.025,False
71,300910.SZ,瑞丰新材,27.58,104.5,13.4,2.2,16.7,0.76,20.3,34.2,7.73,0.025,True
72,601965.SH,中国汽研,14.23,144.4,13.4,1.28,6.1,0.94,12.9,45.9,9.72,0.025,True
73,603565.SH,中谷物流,12.89,267.8,13.5,5.38,30.0,0.53,19.9,25.4,13.35,0.025,True
74,601899.SH,紫金矿业,34.57,9165.8,13.5,1.16,57.5,0.31,32.9,31.1,10.42,0.025,True
75,601108.SH,财通证券,8.83,402.6,13.6,1.14,24.5,0.65,7.9,5.8,578.54,0.025,False
76,600426.SH,华鲁恒升,20.82,561.0,13.7,1.74,45.0,0.4,12.9,20.7,7.21,0.025,False
77,601377.SH,兴业证券,5.95,512.1,14.0,1.61,29.1,0.69,5.8,4.3,73.12,0.025,False
