排名,名称,代码,总分,PE,PB,PE分位%,PB分位%,band判定,权重
1,芭田股份,002170.SZ,84.4,10.8,,,,中性,0.025
2,宝丰能源,600989.SH,80.5,11.0,,,,中性,0.025
3,东方铁塔,002545.SZ,80.4,13.1,,,,中性,0.025
4,腾远钴业,301219.SZ,78.6,11.6,,,,中性,0.025
5,电投能源,002128.SZ,76.8,10.9,,,,中性,0.025
6,南京高科,600064.SH,76.1,7.9,,93.5,28.9,自身低位,0.025
7,周大生,002867.SZ,75.0,12.7,,14.0,15.4,安全边际,0.025
8,中谷物流,603565.SH,75.0,13.5,,,,中性,0.025
9,盐湖股份,000792.SZ,74.2,12.3,,,,中性,0.025
10,江铃汽车,000550.SZ,73.5,11.5,,,,中性,0.025
11,新奥股份,600803.SH,73.3,12.4,,53.1,21.2,自身低位,0.025
12,圆通速递,600233.SH,72.8,10.2,,,,中性,0.025
13,紫金矿业,601899.SH,71.4,13.5,,,,中性,0.025
14,新 和 成,002001.SZ,71.1,11.3,,14.8,25.3,安全边际,0.025
15,招商南油,601975.SH,70.9,12.7,,,,中性,0.025
16,世纪华通,002602.SZ,70.9,16.4,,,,中性,0.025
17,佐力药业,300181.SZ,70.2,15.4,,,,中性,0.025
18,焦作万方,000612.SZ,69.8,9.4,,,,中性,0.025
19,徐工机械,000425.SZ,67.8,14.2,,,,中性,0.025
20,赛轮轮胎,601058.SH,67.2,12.9,,,,中性,0.025
21,瀚蓝环境,600323.SH,67.1,11.1,,19.0,71.7,偏高,0.025
22,中远海特,600428.SH,67.1,16.6,,,,中性,0.025
23,XD百隆东,601339.SH,67.0,14.1,,,,中性,0.025
24,宇通客车,600066.SH,65.7,12.3,,3.2,87.0,偏高,0.025
25,万华化学,600309.SH,65.5,14.2,,,,中性,0.025
26,顾家家居,603816.SH,65.3,13.2,,19.1,2.9,安全边际,0.025
27,君正集团,601216.SH,65.0,12.7,,62.1,28.9,自身低位,0.025
28,爱柯迪,600933.SH,64.6,12.7,,3.4,2.0,安全边际,0.025
29,华新建材,600801.SH,64.4,15.3,,,,中性,0.025
30,深圳燃气,601139.SH,64.0,11.7,,1.7,3.2,安全边际,0.025
31,中山公用,000685.SZ,63.9,7.7,,3.8,78.3,偏高,0.025
32,柳    工,000528.SZ,63.8,10.7,,13.5,34.0,中性,0.025
33,菜百股份,605599.SH,63.6,11.1,,6.3,68.6,中性,0.025
34,苏美达,600710.SH,63.2,9.8,,24.8,62.3,中性,0.025
35,瑞丰新材,300910.SZ,62.9,13.4,,,,中性,0.025
36,嘉友国际,603871.SH,62.7,14.5,,,,中性,0.025
37,新集能源,601918.SH,61.9,11.1,,92.8,87.7,偏高,0.025
38,华友钴业,603799.SH,61.6,11.0,,2.7,14.0,安全边际,0.025
39,中联重科,000157.SZ,61.4,14.1,,23.2,46.2,中性,0.025
40,川恒股份,002895.SZ,61.2,15.1,,51.4,51.8,中性,0.025
