score_rank,code,name,score_total,score_value,score_quality,score_safety,score_pe,score_peg,score_roe,score_gpm,score_dy,score_cet,pe,peg,con_roe,gpm,dy,cetop,exp_g,mv_yi,price,in_gm,weight
1,002170.SZ,芭田股份,84.4,95.3,87.0,59.9,92.6,99.4,94.3,76.1,50.6,73.9,10.8,0.27,25.4,37.2,1.87,14.12,40.9,110.0,11.66,True,0.025
2,600989.SH,宝丰能源,80.5,88.6,88.4,56.3,89.8,86.9,95.5,77.8,48.8,67.6,11.0,0.4,27.1,39.7,1.83,12.0,49.1,1694.7,24.0,True,0.025
3,002545.SZ,东方铁塔,80.4,83.5,77.0,77.4,76.7,93.8,73.9,81.8,88.8,60.2,13.1,0.33,16.9,41.0,3.7,10.61,58.7,220.8,18.2,True,0.025
4,301219.SZ,腾远钴业,78.6,88.0,64.5,74.1,86.4,90.3,65.9,62.5,59.4,96.0,11.6,0.38,15.3,30.7,2.07,257.74,47.6,176.4,46.54,True,0.025
5,002128.SZ,电投能源,76.8,87.0,62.0,71.1,92.0,79.5,51.1,78.4,74.1,66.5,10.9,0.47,13.0,39.8,2.63,11.92,43.5,860.7,28.35,True,0.025
6,600064.SH,南京高科,76.1,95.5,38.0,75.6,97.7,92.0,34.1,43.8,96.5,44.3,7.9,0.36,10.6,23.5,4.88,8.44,20.6,134.3,7.73,False,0.025
7,002867.SZ,周大生,75.0,66.4,76.2,90.9,79.5,46.6,77.8,73.9,85.3,99.4,12.7,0.71,18.2,35.0,3.26,2019.35,16.6,121.6,11.13,True,0.025
8,603565.SH,中谷物流,75.0,71.7,69.4,87.3,73.3,69.3,82.4,50.0,97.1,72.7,13.5,0.53,19.9,25.4,5.38,13.35,30.0,267.8,12.89,True,0.025
9,000792.SZ,盐湖股份,74.2,80.2,89.7,46.8,84.1,74.4,86.9,93.8,50.0,42.0,12.3,0.5,21.8,62.3,,8.03,37.0,1489.6,28.21,True,0.025
10,000550.SZ,江铃汽车,73.5,90.8,35.0,77.3,86.9,96.6,48.9,14.2,72.4,84.7,11.5,0.3,12.9,14.3,2.56,19.49,40.3,137.7,16.09,False,0.025
