代码,名称,层级,评分排名,综合评分,PE,PEG,股息率%,现价,52周最高,52周最低,dist52(现价/52周高),距高点%,分档,行情日期
001872.SZ,招商港口,gm,,,12.4,1.95,2.92,23.34,23.72,18.401,0.984,-1.6,贴近高点,2026-08-25
600177.SH,雅戈尔,gm,,,14.5,0.61,3.04,7.9,8.07,6.612,0.9789,-2.11,贴近高点,2026-08-25
601225.SH,陕西煤业,scored,31,65.7,15.9,0.98,4.16,26.52,27.291,18.821,0.9717,-2.83,贴近高点,2026-08-25
601156.SH,东航物流,core,18,69.2,10.9,0.89,2.52,18.59,19.29,13.633,0.9637,-3.63,贴近高点,2026-08-25
000598.SZ,兴蓉环境,core,,,10.5,1.56,2.47,7.14,7.44,5.965,0.9597,-4.03,贴近高点,2026-08-25
603338.SH,浙江鼎力,gm,,,14.4,0.83,1.59,58.8,63.45,41.44,0.9267,-7.33,较近,2026-08-25
600323.SH,瀚蓝环境,core,7,74.6,10.9,0.68,1.87,29.73,32.19,24.47,0.9236,-7.64,较近,2026-08-25
000651.SZ,格力电器,core,16,70.5,8.0,1.64,3.81,41.62,45.359,36.27,0.9176,-8.24,较近,2026-08-25
601107.SH,四川成渝,core,,,11.3,1.41,3.46,5.78,6.353,4.85,0.9098,-9.02,较近,2026-08-25
601827.SH,三峰环境,core,,,11.0,1.77,2.9,8.27,9.174,7.07,0.9015,-9.85,较近,2026-08-25
002563.SZ,森马服饰,gm,36,64.7,15.0,0.87,4.26,5.88,6.53,4.86,0.9005,-9.95,较近,2026-08-25
002867.SZ,周大生,gm,1,81.6,11.6,0.78,3.26,12.37,13.99,10.44,0.8842,-11.58,较近,2026-08-25
600511.SH,国药股份,core,,,10.3,1.7,2.43,26.71,30.38,25.11,0.8792,-12.08,较近,2026-08-25
601918.SH,新集能源,gm,26,67.4,11.6,0.82,1.63,10.47,12.04,6.02,0.8696,-13.04,较近,2026-08-25
000719.SZ,中原传媒,core,14,70.7,8.9,1.4,4.23,12.11,13.93,10.36,0.8693,-13.07,较近,2026-08-25
603233.SH,大参林,scored,32,65.6,15.4,0.86,2.08,18.41,21.29,14.39,0.8647,-13.53,较近,2026-08-25
002668.SZ,TCL智家,core,,,10.7,1.88,,9.9,11.456,8.346,0.8642,-13.58,较近,2026-08-25
600398.SH,海澜之家,gm,,,13.2,1.72,5.71,6.04,7.02,5.09,0.8604,-13.96,较近,2026-08-25
601607.SH,上海医药,core,,,10.3,1.75,1.71,16.37,19.03,14.66,0.8602,-13.98,较近,2026-08-25
601033.SH,永兴股份,gm,,,14.3,1.22,3.74,14.17,16.6,13.15,0.8536,-14.64,较近,2026-08-25
600039.SH,四川路桥,core,,,10.6,1.62,3.67,8.58,10.19,7.22,0.842,-15.8,中等,2026-08-25
600064.SH,南京高科,core,2,78.6,7.7,0.29,4.88,7.68,9.15,6.75,0.8393,-16.07,中等,2026-08-25
600285.SH,羚锐制药,gm,20,68.9,14.2,1.19,3.65,19.67,23.65,19.0,0.8317,-16.83,中等,2026-08-25
600066.SH,宇通客车,scored,6,75.1,12.3,0.99,4.49,29.99,36.5,23.38,0.8216,-17.84,中等,2026-08-25
